Date,lstm_forecast
2025-01-02,405.70532
2025-01-03,384.84283
2025-01-06,383.29776
2025-01-07,391.0486
2025-01-08,393.56656
2025-01-10,393.1649
2025-01-13,391.36435
2025-01-14,392.9072
2025-01-15,392.43008
2025-01-16,403.84555
2025-01-17,409.49127
2025-01-21,415.4392
2025-01-22,417.56424
2025-01-23,413.51233
2025-01-24,407.55807
2025-01-27,401.09583
2025-01-28,393.6856
2025-01-29,389.57547
2025-01-30,385.25354
2025-01-31,387.14484
2025-02-03,392.57294
2025-02-04,389.19714
2025-02-05,386.89343
2025-02-06,380.40286
2025-02-07,373.5139
2025-02-10,364.548
2025-02-11,354.457
2025-02-12,339.971
2025-02-13,332.204
2025-02-14,337.3659
2025-02-18,346.47293
2025-02-19,353.2708
2025-02-20,358.64804
2025-02-21,358.73502
2025-02-24,350.31815
2025-02-25,338.93228
2025-02-26,320.87466
2025-02-27,302.75586
2025-02-28,288.2005
2025-03-03,284.16556
2025-03-04,283.68948
2025-03-05,280.9092
2025-03-06,280.39294
2025-03-07,275.77908
2025-03-10,270.61612
2025-03-11,253.84616
2025-03-12,240.00658
2025-03-13,237.3554
2025-03-14,238.65622
2025-03-17,244.48737
2025-03-18,246.69604
2025-03-19,242.36136
2025-03-20,239.61261
2025-03-21,238.58138
2025-03-24,242.71158
2025-03-25,257.78342
2025-03-26,276.50226
2025-03-27,284.9131
2025-03-28,285.874
2025-03-31,279.75327
2025-04-01,271.0836
2025-04-02,267.2583
2025-04-03,271.80228
2025-04-04,273.65634
2025-04-07,264.56165
2025-04-08,251.58176
2025-04-09,237.4002
2025-04-10,243.12234
2025-04-11,250.3598
2025-04-14,255.97528
2025-04-15,258.87158
2025-04-16,260.01266
2025-04-17,255.8196
2025-04-21,250.47517
2025-04-22,241.92715
2025-04-23,237.95743
2025-04-24,241.53624
2025-04-25,250.53241
2025-04-28,267.71057
2025-04-29,283.26367
2025-04-30,294.621
2025-05-01,296.4232
2025-05-02,292.6243
2025-05-05,289.83142
2025-05-06,286.14178
2025-05-07,281.80032
2025-05-08,279.0176
2025-05-09,280.84055
2025-05-12,288.79584
2025-05-13,303.8737
2025-05-14,322.4058
2025-05-15,340.44263
2025-05-16,349.2376
2025-05-19,352.9471
2025-05-20,349.81924
2025-05-21,345.57236
2025-05-22,339.14755
2025-05-23,336.70184
2025-05-27,336.3912
2025-05-28,345.91074
2025-05-29,353.86832
2025-05-30,358.62897
2025-06-02,355.49905
2025-06-03,348.76846
2025-06-04,343.59256
2025-06-05,336.71414
2025-06-06,315.35434
2025-06-09,299.43723
2025-06-10,296.0143
2025-06-11,305.86307
2025-06-12,318.61716
2025-06-13,325.33615
2025-06-16,328.8801
2025-06-17,330.78937
2025-06-18,326.57416
2025-06-20,323.28458
2025-06-23,321.60852
2025-06-24,330.87305
2025-06-25,338.57907
2025-06-26,338.04306
2025-06-27,333.40317
2025-06-30,327.83084
2025-07-01,321.83716
2025-07-02,312.06567
2025-07-03,309.4971
2025-07-07,310.992
2025-07-08,306.45322
2025-07-09,302.2862
2025-07-10,299.01965
2025-07-11,302.18442
2025-07-14,308.42984
2025-07-15,315.03873
2025-07-16,317.15234
2025-07-17,320.2544
2025-07-18,321.70956
2025-07-21,325.53894
2025-07-22,328.5206
2025-07-23,331.32257
2025-07-24,333.1001
2025-07-25,324.04395
2025-07-28,317.51736
2025-07-29,317.73755
2025-07-30,319.46515
2025-07-31,320.59747
2025-08-01,317.2471
2025-08-04,311.18356
2025-08-05,308.38937
2025-08-06,307.8803
2025-08-07,312.59515
2025-08-08,318.79843
2025-08-11,326.02014
2025-08-12,334.2863
2025-08-13,340.41052
2025-08-14,342.59998
2025-08-15,340.7443
2025-08-18,335.97958
2025-08-19,333.4169
2025-08-20,330.71994
2025-08-21,327.18124
2025-08-22,323.32062
2025-08-25,327.89252
2025-08-26,336.9126
2025-08-27,346.40103
2025-08-28,351.54645
2025-08-29,351.30124
2025-09-02,344.27768
2025-09-03,335.4207
2025-09-04,330.82416
2025-09-05,331.51617
2025-09-08,338.924
2025-09-09,344.90988
2025-09-10,348.1709
2025-09-11,349.1275
2025-09-12,356.36453
2025-09-15,373.68307
2025-09-16,393.83868
2025-09-17,411.14465
2025-09-18,420.9779
2025-09-19,419.292
2025-09-22,417.00638
2025-09-23,418.4575
2025-09-24,417.5751
2025-09-25,423.1399
2025-09-26,421.04248
2025-09-29,423.7725
2025-09-30,428.1624
2025-10-01,431.95972
2025-10-02,439.77505
2025-10-03,435.88477
2025-10-06,426.68787
2025-10-07,428.6519
2025-10-08,426.11105
2025-10-09,425.57437
2025-10-10,424.74402
2025-10-13,415.48804
2025-10-14,415.88077
2025-10-15,417.2539
2025-10-16,421.10138
2025-10-17,421.65686
2025-10-20,424.84314
2025-10-21,430.78412
2025-10-22,433.15906
2025-10-23,431.4965
2025-10-24,432.8479
2025-10-27,428.5132
2025-10-28,431.5414
2025-10-29,439.40518
2025-10-30,446.18726
2025-10-31,440.56628
2025-11-03,439.18686
2025-11-04,444.64044
2025-11-05,440.58524
2025-11-06,442.1079
2025-11-07,438.28674
2025-11-10,427.72412
2025-11-11,425.5261
2025-11-12,425.4192
2025-11-13,422.95215
2025-11-14,409.4639
2025-11-17,398.45795
2025-11-18,394.82135
2025-11-19,393.08038
2025-11-20,394.2313
2025-11-21,392.75232
2025-11-24,389.2503
2025-11-25,396.6407
2025-11-26,406.03165
2025-11-28,415.16873
2025-12-01,421.40326
2025-12-02,423.3899
2025-12-03,422.15408
2025-12-04,427.03128
2025-12-05,435.30142
2025-12-08,441.4805
2025-12-09,437.60574
2025-12-10,433.63376
2025-12-11,433.73102
2025-12-12,433.68665
2025-12-15,438.7322
2025-12-16,450.29486
2025-12-17,465.24808
2025-12-18,464.67834
2025-12-19,464.79587
2025-12-22,463.58496
2025-12-23,465.6458
2025-12-24,466.69925
2025-12-26,466.9143
2025-12-29,462.396
2025-12-30,451.7991
2025-12-31,441.74103
2026-01-02,434.7326
2026-01-05,427.75894
2026-01-06,429.75986
2026-01-07,427.06677
2026-01-08,423.3522
2026-01-09,422.50647
2026-01-12,426.89502
2026-01-13,433.10562
2026-01-14,436.52914
